lic_number,business_name,business_dba,phone_number,qualifier,zip,renewal_date,classification,status
83330,"Main Stream Earthwork, Inc.","",(336) 791-3067,Joseph Nathaniel Carter,27320,"",H (Grading & Excavating),Valid
83331,Guilford Pools Inc.,"",(336) 881-0418,Sean Ray Hussey,27263,2021-01-01,Building,Valid
83332,"McLendon Hills Construction, LLC","",(910) 673-4951,Roger Dale Worley,27376,"",Residential,Valid
83333,"BellaWood Holdings, LLC, T/A",BellaWood Homes,(919) 321-8635,Adam Peter Czechowicz,27713,"",Building,Valid
83334,"The Hiller Companies, Inc.","",(910) 799-9191,Edgar Paul Hayes,36693,"",Building,Valid
83335,Ley Building & Construction LLC,"",(919) 730-0909,Donnie Moore,27703,"",Residential,Valid
83336,IKECO Construction Inc.,"",(828) 337-6643,Donald M. Icenhower,28791,"",Building,Valid
83337,Robert B. Therman,"",19847897671,Robert Brian Therman,27253,2021-01-01,Building,Valid
83338,"Zoby Kitchen Design, LLC","",(757) 802-0359,Jennifer Leigh Zoby,27958,"",Residential,Valid
83339,Beacham Construction Group LLC,"",(704) 507-6969,John Harwood Beacham,28226,"",Building,Valid
83340,David E. Gay,"",(704) 989-2133,David E. Gay,28103,"",Residential,Valid
83341,Michael David Harrill,"",(704) 766-2000,Michael David Harrill,28146,"",Building,Valid
83342,Christopher Shannon Sparks,"",(704) 577-8429,Christopher Shannon Sparks,27054,"",Residential,Valid
83343,"Fowler Excavating, Inc.","",(828) 489-2561,Taylor Cornelius Fowler,28766,"",Unclassified,Valid
83344,Sheri K. Brydebell,"",(828) 361-3971,Sheri Klein Brydebell,28906,2021-01-01,Residential,Valid
83345,"Achelpohl Roofing & Sheet Metal, Inc.","",(803) 345-5007,Amanda Childs,29075,"",Building,Valid
83346,"American Builders Construction Company, LLC","",(704) 201-9932,Christopher Allen Sides,27013,"",Residential,Valid
83347,"National Project Management, LLC","",(919) 323-6011,Christopher Wayne Smith-Thomas,27616,2021-01-01,Building,Valid
83348,McHugh Acquisitions L.L.C.,"",(336) 528-0018,Bradley McHugh,27050,"",Building,Valid
83349,Amber Hewett Booth,"",(336) 756-8400,Amber Hewett Booth,27041,"",Building,Valid
83350,"Amertech Towerservices, LLC","",(732) 389-2200,Mary Kate McLaughlin,07702,"",Building,Valid
83351,Blue Brook Homes LLC,"",(704) 657-8977,Matthew Scott Cohn,28270,"",Building,Valid
83352,"Di Gi Design Build, LLC","",(828) 333-1145,Steve Joseph Digiovanni,28804,"",Building,Valid
83353,"Joseph Michael Petree, T/A",J.M. Petree Construction,(336) 215-8547,Joseph Michael Petree,27107,"",Building,Valid
83354,Holconn Construction LLC,"",(919) 610-7883,Richard David Holeman,27513,"",Residential,Valid
83355,"Billy York, T/A",Billy York Construction,(361) 935-3202,"Carl James Varner, Jr.",77904,"",Building,Valid
83356,"Dead Level, Precision Construction, LLC","",(828) 244-0038,Leslie Andrew Bell,28037,"",Building,Valid
83357,Tranquil Construction Inc.,"",(980) 406-7308,Joshua Hunter Presley,28110,"",Building,Valid
83358,"4 Seasons Construction, Inc.","",(980) 622-6351,Shaun Michael Rottgen,28124,"",Building,Valid
83359,Jeff Lovec,"",(910) 705-7652,Jeffrey Wayne Lovec,28311,2021-01-01,Building,Valid
83360,"Barbara Brown Enterprises, Inc.","",(980) 222-7123,Barbara Brown Norman,28632,"",Building,Valid
83361,Sean P. Lawless,"",(617) 877-9199,Sean Patrick Lawless,28789,"",Building,Valid
83362,"RHD Property, Inc.","",(919) 424-7516,"Curtis Carter, Jr.",27529,"",Building,Valid
83363,Daniel Reid Macon,"",(828) 305-0673,Daniel Reid Macon,28024,"",Building,Valid
83364,Innovative Contractors Corp.,"",(980) 241-6041,Mario Alenjardo Andrade,28217,"",Building,Valid
83365,GHMLLC,"",(919) 795-6249,Michael H. Gill,27587,"",Building,Valid
83366,Thaddeus Christian McLean,"",(919) 601-1402,Thaddeus Christian McLean,27502,"",Residential,Valid
83367,"Diversified Service Contracting, Inc.","",(910) 897-5404,"Paul Terry Humphrey, Jr.",28335,"",Building,Valid
83368,Mills Builders LLC,"",(310) 819-0152,Cory Brandon Gilbert,27703,"",Residential,Valid
83369,"RCR of WNC, LLC","",(828) 776-3532,"Eugene H. Ruckle, III",28801,"",Building,Valid
83370,HighView Construction Services LLC,"",(919) 270-4895,James Edward Duguid,27587,"",Building,Valid
83371,"Split Oak Contracting, Inc","",(770) 567-0330,"Charles J. Kerscher, III",30295,2021-01-01,Building,Valid
83372,"David Rubino, T/A",David Rubino Construction,(336) 207-7053,David James Rubino,24363,"",Residential,Valid
83373,"Wyatt Alan Clark, Sr.","",(704) 361-1085,"Wyatt Alan Clark, Sr.",28023,"",Residential,Valid
83374,"Canady Building Repair and Roofing, LLC","",(910) 762-7663,"Thomas B. Willson, Jr.",28411,"",Residential,Valid
83375,"Construction Managers, Inc. of Fremont","",(252) 917-0928,Matthew Spence,27830,"",Building,Valid
83376,American Roofing & Construction LLC,"","",Russell Carl Walters,28387,"",Building,Valid
83377,"Knowles Construction, L.L.C.","",(252) 799-6010,Brady Adam Knowles,28590,"",Building,Valid
83379,"Robert A. Mullins, Jr.","",(304) 776-0104,"Robert Adlorin Mullins, Jr.",25312,"",Building,Valid
83380,"Blue Jay Builders, LLC","",(828) 702-0659,Jason Paul Miller,28732,"",Building,Valid
83381,PerryBuilt Homes LLC,"",(828) 263-2028,"Charles W. Perry, Jr.",28607,"",Residential,Valid
83382,"Peterson Builders Framing Contractors, LLC","",(704) 309-4568,Marcus Matthew Edwards,28031,"",Residential,Valid
83383,"Emerge Construction Group, LLC","",(800) 252-4059,Craig Gentry,28540,"",Building,Valid
83384,Richard William Miller,"",(704) 224-1304,Richard W. Miller,28147,2021-01-01,Building,Valid
83385,"Conger Realty, LLC","",(704) 517-0782,Jeffrey C. Conger,28211,"",Building,Valid
83386,Pintail Oilfield Services LLC,"",(405) 243-1859,Thomas Patrick White,73044,"",Building,Valid
83387,RI Construction LLC,"",(919) 484-9830,Uday Wamanrao Palande,27519,"",Building,Valid
83388,"4u Construction, L.L.C.","",(919) 291-7370,Michael Davis,27542,"",Building,Valid
83389,"R.S. Todd, T/A",Pump Systems Technology,(864) 985-2166,Randall Stephen Todd,28790,"",H (Grading & Excavating),Valid
83390,"LeChase/Holt Brothers, A Joint Venture, LLC","",(585) 254-3510,John C. Goodrich,14626,"",Building,Valid
83391,"McLeod Builders, LLC","",(828) 275-4858,Thomas McLeod Jones,28804,"",Building,Valid
83392,Marty Andrew Pennell,"",(828) 446-6696,Marty Andrew Pennell,28681,"",Residential,Valid
83393,"Tile & More, Inc.","",(828) 612-1148,Logan Dabney Gant,28681,2021-01-01,Building,Valid
83394,Jose William Trejo Ramirez,"",(828) 489-1723,Jose William Trejo Ramirez,28739,"",Residential,Valid
83395,Long Beach Island Property Management LLC,"",(973) 809-5509,Thomas Welch,28461,"",Residential,Valid
83396,"Outside In Homes, L.L.C.","",(919) 889-6242,Steven Patrick Brown,27540,"",Residential,Valid
83397,Ally Construction Services LLC,"",(215) 356-7550,Sidney Maurice Johnson,19020,"",Building,Valid
